City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
84,Pisco,PE,69.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
85,Puerto Ayora,EC,73.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
92,Port Elizabeth,ZA,61.11,light rain,-33.918,25.5701,39 On Nile Guest House
93,Moyale,KE,71.06,broken clouds,3.5167,39.0584,La Tahzan Guest House
95,Saldanha,ZA,60.71,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
100,Nizwa,OM,75.16,scattered clouds,22.9333,57.5333,Orient Apartments
101,Pacific Grove,US,63.43,clear sky,36.6177,-121.9166,Lovers Point Inn
102,Sinnamary,GF,82.6,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
104,Tirau,NZ,60.37,few clouds,-37.9833,175.75,A1 Troutfishing at Tirau
106,Najran,SA,65.7,clear sky,17.4924,44.1277,محمد هادي ال فطيح
107,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
109,Kiomboi,TZ,72.21,overcast clouds,-4.2667,34.3667,Reyd's Executive Lodge
112,Keningau,MY,73.85,broken clouds,5.3378,116.1602,Sabindo Hotel
113,Dovers,VC,81.79,broken clouds,12.8833,-61.1833,Ocean Breeze
123,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
125,Lorengau,PG,80.24,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
127,Labuhan,ID,81.86,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
130,Mar Del Plata,AR,60.82,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
131,Baikunthpur,IN,60.53,overcast clouds,23.25,82.55,Hotel Shree Annpurna inn
132,Sao Filipe,CV,79.32,scattered clouds,14.8961,-24.4956,Hotel Xaguate
135,Chipinge,ZW,70.38,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
136,Kohlu,PK,60.06,clear sky,29.8962,69.252,B &R Rest House
137,Guerrero Negro,MX,73.71,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
138,Chimbote,PE,68.2,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
139,Buraydah,SA,65.21,clear sky,26.326,43.975,فندق راحة السلام
140,Axim,GH,79.9,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
141,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
142,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
143,Sulangan,PH,82.78,broken clouds,11.1373,123.7228,Maia's Beach Resort
144,Paita,PE,73.96,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
146,Bilma,NE,81.97,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
148,Marzuq,YE,70.83,clear sky,14.4,46.4667,
149,Sibu,MY,72.64,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
152,Sola,VU,80.55,clear sky,-13.8833,167.55,Leumerus Bungalows
154,Cap Malheureux,MU,76.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
155,Dhidhdhoo,MV,80.64,overcast clouds,6.8833,73.1,Dhidhoo beach
158,Kuala Terengganu,MY,78.3,broken clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
159,Bhachau,IN,79.14,overcast clouds,23.2833,70.35,Amrut Bagh Resort
163,Yulara,AU,67.84,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
168,Lagoa,PT,68.58,clear sky,39.05,-27.9833,Casa Das Faias
169,Irece,BR,79.81,moderate rain,-11.3042,-41.8558,RADAR INN HOTEL
171,Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
173,Constitucion,CL,64.69,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
175,East London,ZA,65.95,light rain,-33.0153,27.9116,Tu Casa
176,Taltal,CL,66.04,few clouds,-25.4,-70.4833,Residencial Karime
180,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
186,Namibe,AO,69.19,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
191,Rawson,AR,67.87,clear sky,-43.3002,-65.1023,Hosteria Sampedro
193,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
197,Bocana De Paiwas,NI,83.35,broken clouds,12.7857,-85.1227,Guapinol Cabaña Monge
200,Salinopolis,BR,83.98,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
201,Ribeira Grande,PT,70.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
204,Saint George,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
210,Ormara,PK,78.85,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
213,Adre,TD,80.6,clear sky,13.4667,22.2,
214,Moroni,KM,78.85,clear sky,-11.7022,43.2551,Hotel les Arcades
215,Lazaro Cardenas,MX,84.45,overcast clouds,17.9583,-102.2,quinta antigua
217,Katobu,ID,76.08,broken clouds,-4.9408,122.5276,La Ode Husein
220,Makaha,US,80.51,overcast clouds,21.4694,-158.2175,Hawaiian Princess Resort
