City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Ilulissat,GL,2021-11-06 00:09:59,69.2167,-51.1,23.02,50,68,5.75
93,Dharchula,IN,2021-11-06 00:09:59,29.85,80.5333,50.67,31,26,7.94
94,Castro,BR,2021-11-06 00:10:00,-24.7911,-50.0119,64.74,93,74,2.26
95,Mar Del Plata,AR,2021-11-06 00:09:07,-38.0023,-57.5575,54.88,74,0,8.99
96,San Policarpo,PH,2021-11-06 00:10:00,12.1791,125.5072,83.23,79,71,7.78
97,Los Llanos De Aridane,ES,2021-11-06 00:10:01,28.6585,-17.9182,64.15,72,75,5.01
98,Brownfield,US,2021-11-06 00:10:02,33.1812,-102.2744,71.51,42,0,10.36
99,Ndjole,GA,2021-11-06 00:10:03,-0.1783,10.7649,74.5,99,100,2.68
100,Portland,US,2021-11-06 00:06:30,45.5234,-122.6762,56.64,68,40,1.01
101,Georgetown,MY,2021-11-06 00:08:26,5.4112,100.3354,78.89,90,20,1.01
102,Mahebourg,MU,2021-11-06 00:10:04,-20.4081,57.7,72.25,84,34,10.6
103,Wakefield,GB,2021-11-06 00:05:39,53.6809,-1.499,53.04,88,85,7.49
104,Tabas,IR,2021-11-06 00:10:05,33.5959,56.9244,54.16,19,86,6.55
105,Belmonte,BR,2021-11-06 00:10:06,-15.8631,-38.8828,75.58,92,95,6.02
106,Kahului,US,2021-11-06 00:09:42,20.8947,-156.47,88.86,64,20,21.85
107,Lokosovo,RU,2021-11-06 00:10:06,61.1333,74.8167,30.69,95,99,10.4
108,Santa Rosa,PH,2021-11-06 00:10:07,14.3122,121.1114,86.09,74,93,7.47
109,Hervey Bay,AU,2021-11-06 00:10:07,-25.2986,152.8535,79.03,65,62,8.84
110,Srednekolymsk,RU,2021-11-06 00:10:08,67.45,153.6833,-2.51,92,59,3.33
111,Kapaa,US,2021-11-06 00:10:08,22.0752,-159.319,82.72,72,40,3.0
112,Atuona,PF,2021-11-06 00:10:09,-9.8,-139.0333,78.46,70,6,16.24
113,Nshamba,TZ,2021-11-06 00:10:09,-1.7983,31.5511,60.93,87,84,3.22
114,Hamilton,US,2021-11-06 00:08:48,39.1834,-84.5333,45.77,68,1,4.61
115,Puerto Carreno,CO,2021-11-06 00:06:25,6.189,-67.4859,81.39,74,95,7.27
116,Vargashi,RU,2021-11-06 00:10:10,55.3556,65.8467,30.65,85,91,11.43
117,Doctor Cecilio Baez,PY,2021-11-06 00:10:10,-25.05,-56.3167,72.39,94,91,6.87
118,Cockburn Town,TC,2021-11-06 00:10:10,21.4612,-71.1419,83.1,77,70,19.8
119,Narsaq,GL,2021-11-06 00:08:44,60.9167,-46.05,28.62,88,100,7.78
120,Shediac,CA,2021-11-06 00:10:11,46.2198,-64.5411,29.08,62,68,5.84
121,Marsh Harbour,BS,2021-11-06 00:05:31,26.5412,-77.0636,78.71,77,100,10.65
122,Thompson,CA,2021-11-06 00:10:11,55.7435,-97.8558,34.84,75,100,4.09
123,Cidreira,BR,2021-11-06 00:10:12,-30.1811,-50.2056,68.74,90,86,12.91
124,Fort Nelson,CA,2021-11-06 00:10:12,58.8053,-122.7002,31.59,100,90,5.75
125,Bambous Virieux,MU,2021-11-06 00:10:13,-20.3428,57.7575,72.21,85,31,11.21
126,Guaimaro,CU,2021-11-06 00:10:13,21.05,-77.35,77.5,85,76,3.89
127,Saint-Philippe,RE,2021-11-06 00:10:13,-21.3585,55.7679,71.22,79,0,6.11
128,Orapa,BW,2021-11-06 00:10:14,-21.2833,25.3667,80.04,38,59,7.16
129,Eyl,SO,2021-11-06 00:10:14,7.9803,49.8164,74.71,78,1,5.97
130,Port Hardy,CA,2021-11-06 00:10:14,50.6996,-127.4199,42.98,87,75,8.05
131,La Ronge,CA,2021-11-06 00:10:15,55.1001,-105.2842,37.62,87,90,2.3
132,Kodiak,US,2021-11-06 00:10:15,57.79,-152.4072,38.71,65,75,5.75
133,Lompoc,US,2021-11-06 00:10:15,34.6391,-120.4579,75.34,71,1,10.36
134,Olinda,BR,2021-11-06 00:10:16,-8.0089,-34.8553,79.5,84,46,12.3
135,Cherskiy,RU,2021-11-06 00:10:16,68.75,161.3,3.51,87,100,9.08
136,Kuytun,RU,2021-11-06 00:10:17,54.3419,101.5036,8.42,80,97,3.98
137,Te Anau,NZ,2021-11-06 00:10:17,-45.4167,167.7167,63.5,60,98,1.97
138,Victoria,HK,2021-11-06 00:08:05,22.2855,114.1577,78.85,90,10,3.0
139,Faya,SA,2021-11-06 00:10:18,18.3851,42.4509,54.12,54,23,2.37
140,Almaty,KZ,2021-11-06 00:10:18,43.25,76.95,6.71,85,3,2.24
141,Morondava,MG,2021-11-06 00:10:18,-20.2833,44.2833,72.12,64,0,6.35
142,Dunedin,NZ,2021-11-06 00:10:19,-45.8742,170.5036,56.8,72,93,15.01
143,Bentiu,SS,2021-11-06 00:10:19,9.2333,29.8333,73.26,81,70,4.23
144,Oktyabrskoye,RU,2021-11-06 00:10:19,43.0645,44.7417,46.54,93,61,2.24
145,Naze,JP,2021-11-06 00:10:20,28.3667,129.4833,63.72,89,100,11.99
146,Dingle,PH,2021-11-06 00:10:20,10.9995,122.6711,81.48,84,80,5.26
147,Butajira,ET,2021-11-06 00:10:21,8.1167,38.3667,55.81,47,6,3.89
148,Pangkalanbuun,ID,2021-11-06 00:10:21,-2.6833,111.6167,80.26,84,80,1.97
149,Samfya,ZM,2021-11-06 00:10:21,-11.3649,29.5565,73.26,31,65,8.37
150,Wilmington,US,2021-11-06 00:07:58,34.2257,-77.9447,49.91,71,1,11.5
151,Poing,DE,2021-11-06 00:10:22,48.17,11.8186,40.98,92,96,1.43
152,Dubbo,AU,2021-11-06 00:08:39,-32.25,148.6167,73.53,56,13,10.36
153,Kefalos,GR,2021-11-06 00:10:22,36.7453,26.9589,68.22,68,0,12.66
154,Nikolskoye,RU,2021-11-06 00:10:23,59.7035,30.7861,43.88,84,100,11.39
155,Bandarbeyla,SO,2021-11-06 00:10:23,9.4942,50.8122,75.76,78,2,4.9
156,Hearst,CA,2021-11-06 00:10:23,49.6835,-83.6665,41.38,83,91,11.9
157,Hovd,MN,2021-11-06 00:10:24,48.0056,91.6419,11.8,30,26,0.89
158,Thohoyandou,ZA,2021-11-06 00:10:24,-22.9456,30.485,73.74,59,51,7.34
159,Vaini,TO,2021-11-06 00:10:25,-21.2,-175.2,82.56,89,20,9.22
160,Kaitangata,NZ,2021-11-06 00:10:25,-46.2817,169.8464,57.92,71,97,11.7
161,Jiexiu,CN,2021-11-06 00:10:25,37.0244,111.9125,53.37,76,85,1.66
162,Bal-Os,PH,2021-11-06 00:10:26,9.4416,122.6257,81.84,77,55,3.85
163,Sabzevar,IR,2021-11-06 00:10:26,36.2126,57.6819,43.88,30,85,7.87
164,Verkhoyansk,RU,2021-11-06 00:10:27,67.5447,133.385,-0.6,90,12,7.99
165,Port Hedland,AU,2021-11-06 00:08:43,-20.3167,118.5667,86.05,42,14,11.5
166,Kiama,AU,2021-11-06 00:10:27,-34.6833,150.8667,73.99,73,30,12.8
167,Robertson,US,2021-11-06 00:10:28,36.5167,-86.8667,51.78,61,75,0.0
168,Cayenne,GF,2021-11-06 00:10:29,4.9333,-52.3333,80.1,88,75,0.0
169,Spasskoye,RU,2021-11-06 00:10:29,44.6108,132.7969,48.92,78,45,11.27
170,Ostrovnoy,RU,2021-11-06 00:10:29,68.0531,39.5131,35.87,98,100,5.75
171,Prince Rupert,CA,2021-11-06 00:09:41,54.3161,-130.3201,45.54,68,92,14.79
172,Longyearbyen,SJ,2021-11-06 00:10:30,78.2186,15.6401,13.84,73,40,2.3
173,Nizwa,OM,2021-11-06 00:10:30,22.9333,57.5333,69.03,55,0,1.79
174,Xucheng,CN,2021-11-06 00:07:11,20.35,110.1288,75.33,89,14,8.61
175,Znamenskoye,RU,2021-11-06 00:10:30,57.1281,73.8282,30.88,93,100,8.9
176,Vila Velha,BR,2021-11-06 00:10:31,-20.3297,-40.2925,73.35,81,75,5.99
177,Codrington,AU,2021-11-06 00:10:31,-38.2667,141.9667,68.02,73,100,15.03
178,Acarau,BR,2021-11-06 00:10:32,-2.8856,-40.12,80.85,79,100,13.22
179,Jian,CN,2021-11-06 00:10:32,27.1172,114.9793,69.08,94,99,4.47
180,Yulara,AU,2021-11-06 00:10:32,-25.2406,130.9889,87.64,42,34,12.66
181,Abu Kamal,SY,2021-11-06 00:10:33,34.4506,40.9171,66.81,41,0,1.07
182,Tiksi,RU,2021-11-06 00:10:33,71.6872,128.8694,5.2,79,100,25.43
183,Dali,CN,2021-11-06 00:10:33,25.7,100.1833,45.72,80,30,3.24
184,Geraldton,AU,2021-11-06 00:10:33,-28.7667,114.6,63.01,59,5,13.8
185,Ust-Maya,RU,2021-11-06 00:10:34,60.4167,134.5333,1.99,95,98,4.97
186,Karatau,KZ,2021-11-06 00:10:34,43.1667,70.4667,16.93,63,0,1.36
187,Ayan,RU,2021-11-06 00:10:35,56.45,138.1667,30.65,95,100,10.63
188,Villazon,BO,2021-11-06 00:10:35,-22.0866,-65.5942,52.9,61,30,18.77
189,Kerema,PG,2021-11-06 00:10:36,-7.9631,145.7785,83.8,73,66,3.87
190,Zabid,YE,2021-11-06 00:10:36,14.1951,43.3152,80.64,60,15,3.2
191,Gucheng,CN,2021-11-06 00:10:36,35.9115,111.3192,57.0,84,100,1.66
192,East London,ZA,2021-11-06 00:10:37,-33.0153,27.9116,64.98,88,100,12.77
193,Maceio,BR,2021-11-06 00:10:37,-9.6658,-35.7353,79.36,86,99,12.26
194,Acari,PE,2021-11-06 00:10:37,-15.4311,-74.6158,68.43,72,14,3.44
195,Garowe,SO,2021-11-06 00:10:38,8.4054,48.4845,71.11,69,1,7.74
196,Sakakah,SA,2021-11-06 00:10:38,29.9697,40.2064,64.22,40,0,6.13
197,Khatanga,RU,2021-11-06 00:10:39,71.9667,102.5,0.21,92,97,16.08
198,Yar-Sale,RU,2021-11-06 00:07:28,66.8333,70.8333,19.02,93,67,9.33
199,Carballo,ES,2021-11-06 00:10:39,43.213,-8.691,52.86,89,68,2.86
200,Newport,GB,2021-11-06 00:10:40,51.5877,-2.9984,52.86,90,100,4.94
201,Yerbogachen,RU,2021-11-06 00:10:40,61.2767,108.0108,13.03,92,100,14.67
202,Mount Isa,AU,2021-11-06 00:10:41,-20.7333,139.5,94.77,34,19,9.22
203,Karasjok,NO,2021-11-06 00:10:41,69.4719,25.5112,28.51,98,99,1.86
204,Inta,RU,2021-11-06 00:10:41,66.0317,60.1659,35.29,99,100,15.77
205,San Roque,ES,2021-11-06 00:10:42,36.2107,-5.3842,53.31,52,0,6.44
206,Meylan,FR,2021-11-06 00:10:42,45.2199,5.7901,44.53,90,9,2.44
207,Inongo,CD,2021-11-06 00:10:43,-1.95,18.2667,71.31,94,83,1.43
208,Ahipara,NZ,2021-11-06 00:10:43,-35.1667,173.1667,65.21,78,17,6.13
209,Paramonga,PE,2021-11-06 00:10:43,-10.6667,-77.8333,64.76,86,27,7.74
210,Pisco,PE,2021-11-06 00:10:44,-13.7,-76.2167,64.02,88,0,13.8
211,Northam,GB,2021-11-06 00:08:45,51.0333,-4.2167,53.1,84,99,9.53
212,Prainha,BR,2021-11-06 00:10:44,-1.8,-53.48,83.77,55,96,5.32
213,Taltal,CL,2021-11-06 00:10:45,-25.4,-70.4833,62.19,74,20,5.79
214,Kismayo,SO,2021-11-06 00:10:14,-0.3582,42.5454,78.62,80,45,12.64
215,Madingou,CG,2021-11-06 00:10:45,-4.1536,13.55,73.94,95,98,4.03
216,Vengerovo,RU,2021-11-06 00:10:46,55.6848,76.7471,28.22,95,100,12.19
217,Almasu Mare,RO,2021-11-06 00:10:46,46.1,23.1333,50.41,96,100,3.69
218,Iqaluit,CA,2021-11-06 00:10:47,63.7506,-68.5145,8.85,87,38,4.79
219,Norman Wells,CA,2021-11-06 00:10:47,65.282,-126.8329,17.64,86,90,0.0
220,Ribeira Grande,PT,2021-11-06 00:10:47,38.5167,-28.7,69.19,94,100,25.05
221,Severo-Kurilsk,RU,2021-11-06 00:10:48,50.6789,156.125,37.47,76,98,15.39
222,Cabo San Lucas,MX,2021-11-06 00:06:54,22.8909,-109.9124,84.61,64,16,1.01
223,Salalah,OM,2021-11-06 00:10:48,17.0151,54.0924,75.29,83,20,3.44
224,Nelson Bay,AU,2021-11-06 00:10:49,-32.7167,152.15,75.25,66,39,13.24
225,Lata,PT,2021-11-06 00:10:49,40.1629,-8.3327,50.81,72,0,4.65
226,Torbay,CA,2021-11-06 00:10:49,47.6666,-52.7314,38.26,92,100,4.0
227,Yaring,TH,2021-11-06 00:10:50,6.8662,101.3689,79.29,87,97,4.41
228,Lazaro Cardenas,MX,2021-11-06 00:09:19,17.9583,-102.2,80.15,78,73,4.65
229,Kaliyaganj,IN,2021-11-06 00:10:50,25.6333,88.3167,63.9,71,44,3.85
230,San Patricio,US,2021-11-06 00:10:51,28.017,-97.5169,64.83,58,0,5.64
231,Road Town,VG,2021-11-06 00:10:51,18.4167,-64.6167,80.69,75,12,17.45
232,Alice Springs,AU,2021-11-06 00:10:52,-23.7,133.8833,90.95,31,18,4.61
233,Alyangula,AU,2021-11-06 00:10:52,-13.8483,136.4192,86.72,59,51,8.86
234,Emba,KZ,2021-11-06 00:10:52,48.8264,58.1442,25.18,24,26,3.65
235,Tonami,JP,2021-11-06 00:10:53,37.0013,137.7272,62.19,58,0,5.41
236,Casper,US,2021-11-06 00:06:32,42.8666,-106.3131,55.51,35,1,14.0
237,Saint-Georges,GD,2021-11-06 00:10:53,12.0564,-61.7485,80.71,81,45,13.51
238,Limon,CR,2021-11-06 00:10:53,10.0,-83.0333,79.14,85,45,6.17
239,Eureka,US,2021-11-06 00:06:32,40.8021,-124.1637,55.67,94,100,2.93
240,Rawson,AR,2021-11-06 00:10:48,-43.3002,-65.1023,53.98,60,0,16.28
241,Saint-Pierre,RE,2021-11-06 00:10:54,-21.3393,55.4781,71.29,64,0,5.75
242,Laguna,US,2021-11-06 00:10:55,38.421,-121.4238,67.14,66,1,3.0
243,Bajil,YE,2021-11-06 00:10:55,15.0584,43.2851,82.15,56,14,5.12
244,Qaanaaq,GL,2021-11-06 00:10:56,77.484,-69.3632,11.05,69,92,11.25
245,Saldanha,ZA,2021-11-06 00:10:56,-33.0117,17.9442,59.14,75,3,13.4
246,Lima,PE,2021-11-06 00:07:24,-12.0432,-77.0282,66.9,78,75,14.97
247,Issoire,FR,2021-11-06 00:10:57,45.55,3.25,43.86,95,58,4.38
248,Sistranda,NO,2021-11-06 00:10:57,63.7256,8.834,43.9,64,100,32.97
249,Raudeberg,NO,2021-11-06 00:10:58,61.9875,5.1352,45.27,81,51,3.0
250,Erbaa,TR,2021-11-06 00:10:58,40.6689,36.5675,45.39,52,1,1.14
251,Bowen,AU,2021-11-06 00:10:58,-20.0167,148.2333,80.42,66,50,12.82
252,Fare,PF,2021-11-06 00:10:59,-16.7,-151.0167,79.79,73,95,7.38
253,Sulphur,US,2021-11-06 00:10:59,30.2366,-93.3774,59.0,71,1,8.05
254,Lavrentiya,RU,2021-11-06 00:07:19,65.5833,-171.0,7.88,80,100,11.97
255,Sao Gabriel Da Cachoeira,BR,2021-11-06 00:10:59,-0.1303,-67.0892,75.88,91,79,1.03
256,Guadalupe Victoria,MX,2021-11-06 00:11:00,32.2869,-115.105,90.68,13,79,6.08
257,Uyuni,BO,2021-11-06 00:11:01,-20.4597,-66.825,51.91,7,3,8.37
258,Nome,US,2021-11-06 00:09:58,64.5011,-165.4064,28.47,75,90,17.27
259,Raahe,FI,2021-11-06 00:11:01,64.6833,24.4833,38.19,80,59,15.05
260,Souillac,MU,2021-11-06 00:11:02,-20.5167,57.5167,72.36,82,59,9.53
261,Karak,JO,2021-11-06 00:10:16,31.1667,35.75,61.9,44,0,10.2
262,Conceicao Do Araguaia,BR,2021-11-06 00:07:29,-8.2578,-49.2647,77.27,83,96,4.05
263,Villa Guerrero,MX,2021-11-06 00:11:03,18.8667,-99.65,68.38,88,57,0.78
264,Namatanai,PG,2021-11-06 00:11:03,-3.6667,152.4333,85.5,65,63,10.07
265,Grindavik,IS,2021-11-06 00:11:04,63.8424,-22.4338,37.87,87,0,13.8
266,Perth,AU,2021-11-06 00:09:23,-31.9333,115.8333,62.15,62,0,11.5
267,Mackay,AU,2021-11-06 00:07:01,-21.15,149.2,84.69,68,25,11.92
268,Ancud,CL,2021-11-06 00:11:04,-41.8697,-73.8203,57.42,76,0,2.33
269,Rorvik,NO,2021-11-06 00:11:04,64.8621,11.2373,45.1,62,94,28.36
270,Vasudevanallur,IN,2021-11-06 00:11:05,9.2333,77.4167,75.2,83,81,4.79
271,Kashi,CN,2021-11-06 00:11:05,39.4547,75.9797,38.23,40,100,9.66
272,Marion,US,2021-11-06 00:07:30,39.7684,-86.1555,43.72,71,1,0.0
273,Gambela,ET,2021-11-06 00:11:06,8.25,34.5833,71.35,80,84,4.56
274,Paso De Los Toros,UY,2021-11-06 00:10:02,-32.8167,-56.5167,57.13,65,100,14.43
275,Thap Than,TH,2021-11-06 00:11:06,15.4606,99.8917,75.9,88,80,1.25
276,Luderitz,NA,2021-11-06 00:11:07,-26.6481,15.1594,59.56,73,42,16.58
277,Sawtell,AU,2021-11-06 00:11:08,-30.3833,153.1,71.62,64,90,11.5
278,Chokurdakh,RU,2021-11-06 00:11:08,70.6333,147.9167,-6.41,90,47,4.79
279,Nanortalik,GL,2021-11-06 00:11:08,60.1432,-45.2371,31.48,79,98,3.87
280,Klobuck,PL,2021-11-06 00:11:09,50.9008,18.9367,44.26,82,99,11.77
281,Mardin,TR,2021-11-06 00:11:10,37.3131,40.7436,56.73,44,0,6.49
282,Zhigansk,RU,2021-11-06 00:11:10,66.7697,123.3711,5.58,94,100,24.45
283,Port Lincoln,AU,2021-11-06 00:11:10,-34.7333,135.8667,64.18,76,67,12.86
284,Coquimbo,CL,2021-11-06 00:07:51,-29.9533,-71.3436,56.93,82,40,6.91
285,Ndele,CF,2021-11-06 00:11:11,8.4109,20.6473,74.93,73,62,1.63
286,Hillsborough,US,2021-11-06 00:11:11,37.5741,-122.3794,63.0,77,90,1.99
287,Kaeo,NZ,2021-11-06 00:11:12,-35.1,173.7833,68.41,66,96,4.83
288,Muzhi,RU,2021-11-06 00:11:12,65.3667,64.6667,25.32,96,97,8.39
289,Katsuura,JP,2021-11-06 00:09:14,35.1333,140.3,64.18,62,7,12.57
290,Pevek,RU,2021-11-06 00:11:13,69.7008,170.3133,-11.33,94,14,6.69
291,Puerto Maldonado,PE,2021-11-06 00:10:44,-12.6,-69.1833,78.78,75,99,1.36
292,Moose Factory,CA,2021-11-06 00:09:55,51.2585,-80.6094,40.44,85,100,11.77
293,Nouadhibou,MR,2021-11-06 00:11:13,20.931,-17.0347,68.85,80,4,17.31
