City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
124,Sidi Ali,DZ,36.0998,0.4206,55.9,56,31,4.27,scattered clouds
125,Lorengau,PG,-2.0226,147.2712,80.24,81,47,7.78,scattered clouds
126,Nanortalik,GL,60.1432,-45.2371,30.4,71,100,12.8,overcast clouds
127,Labuhan,ID,-6.8844,112.2051,81.86,77,100,4.36,overcast clouds
128,Chokurdakh,RU,70.6333,147.9167,-14.37,97,100,7.09,overcast clouds
129,Torbay,CA,47.6666,-52.7314,49.57,77,19,7.0,few clouds
130,Mar Del Plata,AR,-38.0023,-57.5575,60.82,85,75,20.0,broken clouds
131,Baikunthpur,IN,23.25,82.55,60.53,52,99,3.53,overcast clouds
132,Sao Filipe,CV,14.8961,-24.4956,79.32,72,46,8.97,scattered clouds
133,Boguchany,RU,58.3814,97.4531,31.86,95,100,14.34,snow
134,Kholm,RU,59.2667,32.85,34.92,97,100,6.76,snow
135,Chipinge,ZW,-20.1883,32.6236,70.38,45,0,5.84,clear sky
136,Kohlu,PK,29.8962,69.252,60.06,33,2,1.9,clear sky
137,Guerrero Negro,MX,27.9769,-114.0611,73.71,56,49,8.01,scattered clouds
138,Chimbote,PE,-9.0853,-78.5783,68.2,77,89,10.36,overcast clouds
139,Buraydah,SA,26.326,43.975,65.21,24,0,10.69,clear sky
140,Axim,GH,4.8699,-2.2405,79.9,82,49,9.66,scattered clouds
141,Olinda,BR,-8.0089,-34.8553,83.93,70,40,6.91,scattered clouds
142,Vila Velha,BR,-20.3297,-40.2925,76.95,81,75,1.99,broken clouds
143,Sulangan,PH,11.1373,123.7228,82.78,79,57,11.34,broken clouds
144,Paita,PE,-5.0892,-81.1144,73.96,74,91,17.47,overcast clouds
145,Talnakh,RU,69.4865,88.3972,28.44,98,100,5.79,snow
146,Bilma,NE,18.6853,12.9164,81.97,12,50,5.3,scattered clouds
147,Hasaki,JP,35.7333,140.8333,57.6,59,0,15.64,clear sky
148,Marzuq,YE,14.4,46.4667,70.83,27,0,2.17,clear sky
149,Sibu,MY,2.3,111.8167,72.64,98,100,1.95,overcast clouds
150,Beysehir,TR,37.6773,31.7246,54.36,46,82,4.5,broken clouds
151,Nurota,UZ,40.5614,65.6886,32.09,37,97,1.21,overcast clouds
152,Sola,VU,-13.8833,167.55,80.55,75,0,9.89,clear sky
153,Severo-Kurilsk,RU,50.6789,156.125,35.42,63,89,22.08,overcast clouds
154,Cap Malheureux,MU,-19.9842,57.6142,76.46,76,13,5.99,light rain
155,Dhidhdhoo,MV,6.8833,73.1,80.64,81,100,15.17,overcast clouds
156,Provideniya,RU,64.3833,-173.3,12.97,93,45,4.59,scattered clouds
157,Deputatskiy,RU,69.3,139.9,-20.09,86,2,4.63,clear sky
158,Kuala Terengganu,MY,5.3302,103.1408,78.3,88,56,4.05,broken clouds
159,Bhachau,IN,23.2833,70.35,79.14,28,100,6.04,overcast clouds
160,Shenjiamen,CN,29.9576,122.298,49.06,82,100,37.27,light rain
161,Katangli,RU,51.7102,143.2326,21.79,68,100,10.63,overcast clouds
162,Mao,ES,39.8885,4.2658,52.36,93,75,18.41,mist
163,Yulara,AU,-25.2406,130.9889,67.84,77,75,8.05,broken clouds
164,Lyudinovo,RU,53.8664,34.4478,40.98,79,65,10.83,broken clouds
165,Mon,IN,26.75,95.1,59.45,80,91,3.69,overcast clouds
166,Puerto Escondido,MX,15.85,-97.0667,85.35,59,98,6.31,overcast clouds
167,Cayenne,GF,4.9333,-52.3333,86.04,81,75,5.01,broken clouds
168,Lagoa,PT,39.05,-27.9833,68.58,82,5,28.81,clear sky
169,Irece,BR,-11.3042,-41.8558,79.81,61,100,10.36,moderate rain
170,Paredon,MX,16.0333,-93.8667,88.18,40,99,14.2,overcast clouds
171,Nhulunbuy,AU,-12.2333,136.7667,79.41,89,47,0.0,scattered clouds
172,Tupik,RU,54.4253,119.9327,8.29,90,5,1.83,clear sky
